Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Credit
49,male,3,rent,little,moderate,1126,9,furniture/equipment,0
29,female,3,rent,NA,moderate,683,6,furniture/equipment,0
46,female,2,rent,NA,moderate,2251,12,car (used),0
20,female,3,free,rich,rich,4675,12,car (new),0
47,male,3,rent,NA,little,2353,21,others,0
29,female,3,rent,quite rich,NA,3357,21,furniture/equipment,0
54,female,1,rent,NA,rich,672,6,others,0
52,male,3,rent,moderate,NA,338,6,furniture/equipment,0
32,male,3,rent,NA,rich,2697,9,furniture/equipment,0
51,male,2,own,moderate,rich,2507,9,others,0
33,male,3,rent,NA,rich,1478,15,furniture/equipment,0
37,male,2,rent,rich,rich,3565,12,repairs,0
20,female,3,free,moderate,rich,2221,15,car (used),0
34,male,2,rent,rich,rich,1898,6,furniture/equipment,0
31,male,3,rent,little,little,1449,6,retraining,0
30,female,3,rent,quite rich,rich,960,15,car (used),0
30,female,3,rent,NA,rich,8133,36,car (new),0
22,female,3,free,little,rich,2301,9,car (used),0
34,male,2,rent,little,rich,1743,6,retraining,0
19,female,2,free,quite rich,little,983,12,car (used),0
34,male,3,rent,NA,rich,2320,18,furniture/equipment,0
45,male,2,rent,NA,NA,339,12,vacation,0
25,male,3,rent,NA,moderate,5152,24,furniture/equipment,0
26,female,3,rent,NA,moderate,3749,24,car (used),0
33,male,3,rent,rich,rich,3074,9,furniture/equipment,0
28,female,2,rent,NA,moderate,745,9,furniture/equipment,1
41,male,2,free,little,rich,1469,24,others,0
36,male,2,rent,NA,NA,1374,6,car (used),0
26,male,2,rent,rich,rich,783,6,others,0
28,female,4,free,NA,NA,2606,21,furniture/equipment,0
39,male,2,rent,rich,rich,9436,54,car (new),0
65,male,3,rent,rich,rich,930,12,furniture/equipment,0
38,male,3,rent,rich,rich,2751,48,car (new),0
41,female,2,rent,quite rich,rich,250,6,others,0
26,male,3,rent,NA,little,1201,24,others,0
41,male,2,rent,NA,NA,662,6,others,0
45,male,3,own,rich,rich,1300,15,car (new),0
40,male,3,rent,NA,rich,1559,24,retraining,0
24,male,3,rent,NA,moderate,3016,12,furniture/equipment,0
31,male,3,rent,NA,rich,1360,15,furniture/equipment,0
35,male,3,free,little,rich,1204,6,others,0
40,male,2,free,moderate,rich,1597,10,others,0
28,female,3,rent,little,rich,2073,12,furniture/equipment,0
28,male,3,rent,quite rich,rich,2142,11,retraining,0
27,female,3,free,rich,NA,2132,10,car (used),0
31,male,2,rent,NA,rich,1546,10,others,0
37,female,3,rent,quite rich,rich,1287,24,others,0
35,male,2,free,little,rich,1418,10,others,0
46,male,3,rent,NA,moderate,1343,6,others,0
32,male,3,rent,rich,rich,2662,18,others,0
33,male,3,rent,NA,rich,6070,18,furniture/equipment,0
33,female,3,rent,rich,rich,1927,24,repairs,0
26,female,3,rent,NA,rich,2404,18,furniture/equipment,0
24,female,3,free,NA,rich,1554,6,furniture/equipment,0
25,female,3,free,rich,rich,1283,22,others,0
54,male,3,rent,rich,rich,717,24,others,0
24,male,2,rent,NA,NA,1747,24,car (used),0
48,male,3,rent,little,NA,1288,9,domestic appliances,0
49,male,3,rent,NA,NA,1038,10,others,0
32,male,3,rent,little,rich,2848,10,car (new),0
55,male,3,rent,quite rich,rich,1413,12,car (new),0
40,male,3,rent,rich,rich,3077,30,furniture/equipment,0
22,female,3,free,NA,NA,3632,24,car (new),0
38,male,4,rent,rich,rich,3229,18,car (new),0
26,male,3,free,little,rich,3577,9,others,0
51,female,3,rent,little,rich,682,12,others,0
38,male,3,rent,NA,rich,1924,10,furniture/equipment,0
46,male,3,own,moderate,rich,727,10,repairs,0
63,male,3,own,NA,moderate,781,10,others,0
30,male,3,rent,NA,NA,2121,12,others,0
32,male,3,rent,NA,rich,701,12,repairs,0
26,male,3,rent,rich,rich,2069,10,car (used),0
34,female,3,rent,quite rich,rich,1525,24,others,0
46,male,4,rent,rich,rich,7629,48,retraining,0
29,female,3,rent,NA,NA,3499,12,others,1
42,male,3,own,little,rich,1346,6,furniture/equipment,0
42,male,3,own,rich,rich,10477,36,car (new),0
63,male,3,rent,NA,NA,2924,24,car (new),0
32,male,2,rent,NA,rich,1231,10,others,0
23,female,4,rent,NA,moderate,1961,18,others,0
59,female,3,rent,rich,rich,5045,15,others,0
61,male,2,rent,NA,rich,1255,12,others,0
22,female,3,free,NA,NA,1858,12,car (used),0
27,male,3,rent,rich,rich,1221,6,car (used),0
26,female,3,free,NA,rich,1388,9,car (used),0
37,male,3,own,rich,rich,2279,12,furniture/equipment,0
34,male,3,rent,NA,rich,2759,12,car (used),0
57,female,2,rent,moderate,moderate,1258,24,furniture/equipment,0
31,male,2,rent,NA,little,1410,12,vacation,0
28,female,3,free,NA,NA,1403,15,others,0
24,male,2,free,NA,NA,3021,24,car (used),0
21,male,2,rent,NA,NA,6568,24,retraining,0
34,male,3,rent,quite rich,rich,2578,24,furniture/equipment,0
29,female,3,free,quite rich,little,7758,24,car (new),0
27,female,3,rent,NA,NA,343,6,radio/television,0
34,male,4,rent,little,rich,1591,21,car (used),0
27,male,4,rent,NA,NA,3416,27,furniture/equipment,0
28,male,3,rent,NA,NA,1108,12,domestic appliances,1
30,male,4,rent,NA,little,5965,27,car (new),0
22,male,3,rent,little,little,1514,15,domestic appliances,0
36,male,3,rent,rich,rich,6742,30,furniture/equipment,0
22,female,3,free,NA,NA,3650,18,car (used),0
26,female,2,free,NA,NA,3599,21,car (used),0
63,male,4,own,rich,rich,13756,60,others,0
22,male,2,free,NA,little,276,9,others,0
36,male,3,rent,moderate,rich,4041,42,car (used),0
24,male,3,rent,NA,little,458,9,furniture/equipment,0
30,female,3,rent,NA,little,918,9,car (used),1
43,male,2,rent,NA,rich,7393,24,others,0
37,male,3,rent,NA,moderate,1225,10,radio/television,0
26,female,3,free,rich,NA,2812,24,car (new),0
33,male,3,rent,NA,rich,3029,15,car (new),0
66,male,1,own,moderate,moderate,1480,12,others,0
50,female,2,rent,NA,moderate,1047,6,repairs,0
35,male,3,own,NA,rich,1471,15,furniture/equipment,0
25,male,3,rent,little,rich,5511,24,car (used),0
25,female,3,rent,NA,little,1206,9,furniture/equipment,0
33,male,3,rent,NA,little,6403,24,furniture/equipment,0
30,male,3,rent,NA,rich,707,12,furniture/equipment,0
41,male,3,free,NA,rich,1503,12,car (new),0
32,male,3,rent,NA,little,6078,12,others,0
32,female,3,rent,NA,little,2528,27,retraining,0
39,male,2,rent,little,little,1037,12,retraining,0
23,female,1,free,moderate,NA,1352,6,car (new),0
26,female,3,rent,NA,rich,3181,24,furniture/equipment,0
32,male,3,rent,NA,rich,4594,18,furniture/equipment,0
40,male,1,own,rich,little,5381,48,business,0
30,male,3,rent,NA,rich,4657,15,car (new),0
27,male,3,rent,NA,little,1391,9,retraining,0
36,male,3,rent,quite rich,little,1913,18,retraining,0
29,male,3,free,rich,rich,7166,42,furniture/equipment,0
64,female,3,rent,little,rich,1409,13,furniture/equipment,0
32,male,3,rent,rich,rich,2978,24,retraining,0
35,male,3,rent,rich,rich,976,12,furniture/equipment,0
44,male,3,rent,moderate,rich,2375,24,retraining,0
42,male,3,rent,moderate,rich,522,12,furniture/equipment,0
29,male,3,rent,NA,rich,2743,28,furniture/equipment,0
57,female,2,rent,little,rich,1154,11,furniture/equipment,0
27,male,3,rent,quite rich,rich,5804,24,car (new),0
29,male,3,rent,rich,rich,1169,18,furniture/equipment,0
44,male,3,rent,NA,NA,1478,15,car (used),0
28,male,3,rent,NA,rich,776,12,furniture/equipment,0
40,female,3,rent,quite rich,little,1322,11,others,0
68,male,1,own,NA,little,1175,16,others,0
52,female,4,own,rich,rich,2133,12,others,0
46,male,3,rent,NA,rich,1829,15,furniture/equipment,0
52,male,3,rent,NA,rich,717,12,furniture/equipment,0
32,male,3,free,little,little,11760,39,repairs,0
34,female,4,rent,NA,little,1501,9,repairs,1
23,female,3,free,rich,NA,1200,12,repairs,0
33,female,2,rent,rich,little,3195,9,others,0
26,female,4,free,NA,rich,4530,30,furniture/equipment,0
55,male,3,own,quite rich,rich,1555,12,domestic appliances,1
27,male,3,rent,moderate,little,2326,15,retraining,0
28,male,3,rent,rich,little,1887,18,retraining,0
57,male,2,free,rich,rich,1264,12,retraining,0
36,male,3,own,rich,rich,846,7,furniture/equipment,0
31,female,3,rent,little,rich,1532,15,repairs,0
24,female,3,rent,NA,rich,935,6,furniture/equipment,0
43,male,4,rent,NA,NA,2442,27,retraining,0
40,male,1,rent,NA,little,3590,18,retraining,0
23,female,3,rent,NA,rich,2288,21,car (used),0
26,male,3,rent,NA,rich,5117,27,retraining,0
30,male,4,rent,rich,NA,14179,39,car (used),0
40,male,3,free,rich,rich,1386,15,furniture/equipment,0
56,male,3,rent,NA,rich,618,12,furniture/equipment,0
50,male,3,rent,NA,rich,1574,12,car (used),0
36,male,3,own,rich,rich,700,6,furniture/equipment,0
21,female,3,rent,rich,rich,886,12,furniture/equipment,0
32,male,4,own,NA,rich,4686,36,car (new),0
66,female,2,rent,moderate,little,790,9,furniture/equipment,0
66,male,2,rent,moderate,little,766,12,furniture/equipment,1
39,male,3,rent,rich,NA,2212,20,car (used),0
70,male,4,own,NA,little,7308,10,others,0
24,female,3,own,NA,little,5743,24,repairs,0
22,male,3,own,NA,NA,3973,14,others,0
27,male,2,rent,rich,little,7418,60,furniture/equipment,0
29,male,3,rent,NA,little,2629,20,business,0
35,male,2,rent,quite rich,little,1941,18,retraining,0
29,male,2,rent,rich,little,2333,24,car (used),0
26,male,3,free,rich,rich,2445,12,car (new),0
60,male,4,rent,rich,little,6468,20,car (new),0
40,male,4,rent,NA,little,7374,18,car (used),0
23,female,3,rent,little,rich,3812,15,car (new),0
45,male,2,rent,NA,NA,4006,28,others,1
24,female,1,free,rich,little,7472,12,others,0
55,female,4,rent,rich,moderate,1424,12,car (used),0
30,male,3,rent,rich,little,2028,12,car (new),0
35,female,3,own,moderate,rich,5324,15,others,0
24,male,3,free,NA,little,2323,36,furniture/equipment,0
47,male,3,rent,NA,rich,1393,12,repairs,0
47,male,3,own,NA,rich,1984,18,car (used),0
25,male,3,rent,rich,rich,999,24,furniture/equipment,0
37,male,3,rent,rich,rich,7409,36,retraining,0
33,female,2,free,rich,rich,2186,15,car (used),0
31,male,3,rent,NA,moderate,4473,36,furniture/equipment,0
27,male,2,rent,NA,rich,937,24,vacation,0
47,male,3,rent,NA,rich,3422,18,car (used),0
25,male,3,rent,rich,rich,3105,24,furniture/equipment,0
57,female,2,own,NA,rich,2748,12,repairs,0
67,female,3,rent,NA,little,3872,18,domestic appliances,0
48,male,3,rent,rich,rich,5190,27,domestic appliances,0
40,female,3,free,NA,little,3001,18,car (used),0
32,male,3,own,NA,rich,3863,24,retraining,0
49,male,3,free,rich,rich,5801,12,car (used),0
35,female,3,rent,quite rich,rich,1592,12,car (used),0
27,female,3,rent,NA,rich,1185,12,retraining,0
35,male,4,rent,NA,rich,3780,18,car (used),0
37,female,3,rent,NA,little,3612,18,car (used),0
26,male,3,rent,NA,rich,1076,12,retraining,0
45,male,4,rent,rich,rich,3527,12,others,0
33,male,3,rent,NA,rich,2051,18,furniture/equipment,0
42,male,3,rent,NA,rich,3331,12,car (used),0
31,male,3,rent,NA,NA,3104,18,retraining,0
46,male,3,rent,NA,rich,2611,24,furniture/equipment,0
54,male,3,rent,NA,NA,1409,12,car (new),0
26,male,3,rent,little,rich,1311,24,furniture/equipment,0
29,male,3,free,NA,rich,2108,6,furniture/equipment,0
43,male,3,rent,rich,rich,4042,24,car (new),0
38,female,1,rent,NA,rich,926,12,others,0
35,male,3,rent,moderate,NA,1680,12,furniture/equipment,0
28,male,3,rent,NA,rich,1249,24,others,0
27,male,3,rent,little,rich,2463,24,others,0
51,male,3,rent,NA,rich,1595,6,furniture/equipment,0
33,male,3,rent,NA,rich,2058,24,domestic appliances,0
38,male,4,rent,NA,rich,7814,24,car (new),0
30,male,3,free,NA,rich,1740,6,furniture/equipment,0
38,female,3,rent,rich,rich,1240,12,furniture/equipment,0
46,male,4,rent,rich,rich,6842,24,car (new),0
33,male,3,rent,NA,rich,5150,24,car (used),0
43,male,3,rent,little,NA,1203,6,others,0
24,male,3,rent,moderate,rich,2080,6,others,0
56,female,3,rent,NA,rich,1538,6,repairs,0
37,male,3,rent,little,little,3878,24,others,0
22,male,3,rent,NA,little,3832,30,car (used),0
20,female,3,free,quite rich,rich,3186,15,others,0
29,male,3,rent,little,little,2896,24,furniture/equipment,0
36,male,4,free,little,little,6967,24,retraining,0
37,male,3,own,NA,rich,1819,36,repairs,1
44,female,3,rent,rich,rich,5943,24,furniture/equipment,1
23,female,3,free,NA,rich,7127,36,car (used),1
28,female,4,rent,NA,rich,3349,36,car (used),1
26,female,4,rent,NA,rich,10974,36,car (used),1
29,female,3,rent,NA,rich,518,6,furniture/equipment,0
21,female,3,free,rich,rich,1126,18,furniture/equipment,0
34,male,4,rent,NA,little,1860,12,car (new),0
